,id,Node_1,Node_2,is_atDRearOf,is_atSRearOf,is_inDFrontOf,is_inSFrontOf,is_isIn,is_toLeftOf,is_toRightOf,near_level,lane_id_diff,lane_id,lane_id_Node_2,Name,velocity_diff,abs_distance,abs_distance_level,equal_frequency_velocity_diff,equal_frequency_distance_difff
9109,"(169, 14397289)",car_2093,ego car,0,0,0,1,0,0,0,1,0.0,-2.0,-2.0,car_2093,-33,21.2602916254693,9,1,5
9110,"(169, 14397290)",car_2093,ego car,0,0,0,1,0,0,0,1,0.0,-2.0,-2.0,car_2093,-34,20.615528128088304,9,1,4
9111,"(169, 14397291)",car_2093,ego car,0,0,0,1,0,0,0,1,0.0,-2.0,-2.0,car_2093,-34,20.0,8,1,4
9112,"(17, 17791801)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,3,12.12435565298214,5,4,2
9113,"(17, 17791801)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,7,20.27313493271329,8,4,4
9114,"(17, 17791803)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,3,12.569805089976535,5,4,3
9115,"(17, 17791803)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,6,20.27313493271329,8,4,4
9116,"(17, 17791804)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,3,12.12435565298214,5,4,2
9117,"(17, 17791804)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,6,20.27313493271329,8,4,4
9118,"(17, 17791805)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,2,12.529964086141668,5,4,3
9119,"(17, 17791805)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,5,20.27313493271329,8,4,4
9120,"(17, 17791806)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,3,12.083045973594572,5,4,2
9121,"(17, 17791806)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,5,20.27313493271329,8,4,4
9122,"(17, 17791807)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,3,12.083045973594572,5,4,2
9123,"(17, 17791807)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,5,21.118712081942878,9,4,5
9124,"(17, 17791808)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,2,12.083045973594572,5,4,2
9125,"(17, 17791808)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,4,20.27313493271329,8,4,4
